date,cash,open_positions_value,total_portfolio_value,realized_pnl_to_date,unrealized_pnl,daily_return,cumulative_return,spy_cumulative_return,qqq_cumulative_return,equal_weight_cumulative_return
2024-07-16,15176.68,115271.21,130447.89,23590.88,6856.99,-0.01013,0.304479,0.202672,0.23646,0.365134
2024-07-17,15176.68,112400.92,127577.6,23590.88,3986.7,-0.022003,0.275776,0.18581,0.200163,0.329833
2024-07-18,49447.38,76291.84,125739.22,19360.12,6379.09,-0.01441,0.257392,0.176697,0.194484,0.30696
2024-07-19,49447.38,76170.46,125617.84,19360.12,6257.71,-0.000965,0.256178,0.168883,0.183896,0.254307
2024-07-22,49447.38,77118.38,126565.76,19360.12,7205.63,0.007546,0.265658,0.180934,0.201534,0.209352
2024-07-23,49447.38,78118.28,127565.66,19360.12,8205.53,0.0079,0.275657,0.179081,0.197299,0.227297
2024-07-24,49447.38,75543.41,124990.79,19360.12,5630.66,-0.020185,0.249908,0.15236,0.154351,0.184367
2024-07-25,49447.38,74393.28,123840.66,19360.12,4480.53,-0.009202,0.238407,0.146356,0.141621,0.166435
2024-07-26,49447.38,75308.22,124755.6,19360.12,5395.47,0.007388,0.247556,0.159195,0.15333,0.179196
2024-07-29,49447.38,75230.4,124677.78,19360.12,5317.65,-0.000624,0.246778,0.159876,0.155647,0.181826
2024-07-30,49447.38,74157.23,123604.61,19360.12,4244.48,-0.008608,0.236046,0.154,0.139778,0.135879
2024-07-31,49447.38,74854.84,124302.22,19360.12,4942.08,0.005644,0.243022,0.172758,0.173508,0.141704
2024-08-01,49447.38,74196.77,123644.15,19360.12,4284.02,-0.005294,0.236441,0.15615,0.145084,0.123859
2024-08-02,49447.38,72266.74,121714.12,19360.12,2353.99,-0.01561,0.217141,0.134625,0.117906,0.093852
2024-08-05,49447.38,69601.71,119049.09,19360.12,-311.04,-0.021896,0.190491,0.10158,0.084574,0.0699
2024-08-06,49447.38,70074.96,119522.34,19360.12,162.21,0.003975,0.195223,0.111736,0.094937,0.088071
2024-08-07,13888.67,104839.35,118728.02,19360.12,-632.12,-0.006646,0.18728,0.104306,0.083079,0.078156
2024-08-08,13888.67,107587.11,121475.78,19360.12,2115.65,0.023143,0.214758,0.129834,0.116212,0.105198
2024-08-09,13888.67,108810.05,122698.72,19360.12,3338.59,0.010067,0.226987,0.134816,0.122041,0.118744
2024-08-12,13888.67,108784.51,122673.18,19360.12,3313.05,-0.000208,0.226732,0.135412,0.124457,0.119032
2024-08-13,13888.67,111217.65,125106.32,19360.12,5746.19,0.019834,0.251063,0.154085,0.152358,0.142803
2024-08-14,13888.67,113087.96,126976.63,19360.12,7616.5,0.01495,0.269766,0.157726,0.152732,0.160659
2024-08-15,13888.67,114538.03,128426.7,19360.12,9066.57,0.01142,0.284267,0.177569,0.181854,0.175173
2024-08-16,13888.67,114793.43,128682.1,19360.12,9321.97,0.001989,0.286821,0.18021,0.183373,0.177374
2024-08-19,13888.67,115831.49,129720.16,19360.12,10360.03,0.008067,0.297202,0.191494,0.198918,0.18732
2024-08-20,13888.67,116424.3,130312.97,19360.12,10952.84,0.00457,0.30313,0.189557,0.196402,0.193981
2024-08-21,13888.67,117692.01,131580.68,19360.12,12220.55,0.009728,0.315807,0.193645,0.201982,0.205736
2024-08-22,13888.67,115508.31,129396.98,19360.12,10036.85,-0.016596,0.29397,0.184276,0.182925,0.183594
2024-08-23,13888.67,116530.03,130418.7,19360.12,11058.57,0.007896,0.304187,0.19686,0.195754,0.193571
2024-08-26,13888.67,115297.34,129186.01,19360.12,9825.88,-0.009452,0.29186,0.194007,0.184145,0.181996
2024-08-27,13888.67,115816.52,129705.18,19360.12,10345.05,0.004019,0.297052,0.195646,0.187683,0.1863
